Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Kinematics and Physics of Celestial Bodies,1934-8401,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Kinetics and Catalysis,1608-3210,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
KN - Journal of Cartography and Geographic Information,2524-4965,Yes,,,Springer Nature (Springer)
"Knee Surgery, Sports Traumatology, Arthroscopy",1433-7347,Yes,,,Springer Nature (Springer)
Knie Journal,2662-4036,Yes,,,Springer Nature (Springer)
Knowledge and Information Systems,0219-3116,Yes,,,Springer Nature (Springer)
Korea-Australia Rheology Journal,2093-7660,Yes,,,Springer Nature (Springer)
Korean Journal of Chemical Engineering,1975-7220,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
KSCE Journal of Civil Engineering,1976-3808,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie,1861-891X,Yes,,,Springer Nature (Springer)
L'Endocrinologo,1720-8351,Yes,,,Springer Nature (Springer)
La radiologia medica,1826-6983,Yes,,,Springer Nature (Springer)
La Rivista del Nuovo Cimento,1826-9850,Yes,,,Springer Nature (Springer)
Lab Animal,1548-4475,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Academic Journals on Nature.com)
Laboratory Investigation,1530-0307,Yes,,,Springer Nature (Academic Journals on Nature.com)
Landscape and Ecological Engineering,1860-188X,Yes,,,Springer Nature (Springer)
Landscape Ecology,1572-9761,Yes,,,Springer Nature (Springer)
Landslides,1612-5118,Yes,,,Springer Nature (Springer)
Langenbeck's Archives of Surgery,1435-2451,Yes,,,Springer Nature (Springer)
Language Policy,1573-1863,Yes,,,Springer Nature (Springer)
Language Resources and Evaluation,1574-0218,Yes,,,Springer Nature (Springer)
Lasers in Dental Science,2367-2587,Yes,,,Springer Nature (Springer)
Lasers in Manufacturing and Materials Processing,2196-7237,Yes,,,Springer Nature (Springer)
Lasers in Medical Science,1435-604X,Yes,,,Springer Nature (Springer)
Latino Studies,1476-3443,Yes,,,Springer Nature (Palgrave Macmillan)
Law and Critique,1572-8617,Yes,,,Springer Nature (Springer)
Law and Philosophy,1573-0522,Yes,,,Springer Nature (Springer)
Learning & Behavior,1543-4508,Yes,,,Springer Nature (Springer)
Learning Environments Research,1573-1855,Yes,,,Springer Nature (Springer)
Letters in Mathematical Physics,1573-0530,Yes,,,Springer Nature (Springer)
Letters in Spatial and Resource Sciences,1864-404X,Yes,,,Springer Nature (Springer)
Leukemia,1476-5551,Yes,,,Springer Nature (Academic Journals on Nature.com)
Life Cycle Reliability and Safety Engineering,2520-1360,Yes,,,Springer Nature (Springer)
Lifetime Data Analysis,1572-9249,Yes,,,Springer Nature (Springer)
Limnology,1439-863X,Yes,,,Springer Nature (Springer)
Linguistics and Philosophy,1573-0549,Yes,,,Springer Nature (Springer)
List Forum für Wirtschafts- und Finanzpolitik,2364-3943,Yes,,,Springer Nature (Springer)
Lithology and Mineral Resources,1608-3229,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Lithuanian Mathematical Journal,1573-8825,Yes,,,Springer Nature (Springer)
Liverpool Law Review,1572-8625,Yes,,,Springer Nature (Springer)
Lobachevskii Journal of Mathematics,1818-9962,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Logica Universalis,1661-8300,Yes,,,Springer Nature (Springer)
Lung,1432-1750,Yes,,,Springer Nature (Springer)
Machine Learning,1573-0565,Yes,,,Springer Nature (Springer)
Machine Vision and Applications,1432-1769,Yes,,,Springer Nature (Springer)
Macromolecular Research,2092-7673,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Magnetic Resonance Materials in Physics, Biology and Medicine",1352-8661,Yes,,,Springer Nature (Springer)
Mammal Research,2199-241X,Yes,,,Springer Nature (Springer)
Mammalian Biology,1618-1476,Yes,,,Springer Nature (Springer)
Mammalian Genome,1432-1777,Yes,,,Springer Nature (Springer)
Management International Review,1861-8901,Yes,,,Springer Nature (Springer)
Management Review Quarterly,2198-1639,Yes,,,Springer Nature (Springer)
Manuelle Medizin,1433-0466,Yes,,,Springer Nature (Springer)
manuscripta mathematica,1432-1785,Yes,,,Springer Nature (Springer)
MAPAN,0974-9853,Yes,,,Springer Nature (Springer)
Marine Biodiversity,1867-1624,Yes,,,Springer Nature (Springer)
Marine Biology,1432-1793,Yes,,,Springer Nature (Springer)
Marine Biotechnology,1436-2236,Yes,,,Springer Nature (Springer)
Marine Geophysical Research,1573-0581,Yes,,,Springer Nature (Springer)
Marine Life Science & Technology,2662-1746,Yes,,,Springer Nature (Springer)
Marine Systems & Ocean Technology,2199-4749,Yes,,,Springer Nature (Springer)
Maritime Economics & Logistics,1479-294X,Yes,,,Springer Nature (Palgrave Macmillan)
Maritime Studies,2212-9790,Yes,,,Springer Nature (Springer)
Marketing Letters,1573-059X,Yes,,,Springer Nature (Springer)
maschinenbau,2730-9843,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Materials and Structures,1871-6873,Yes,,,Springer Nature (Springer)
Materials Circular Economy,2524-8154,Yes,,,Springer Nature (Springer)
Materials Science,1573-885X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Maternal and Child Health Journal,1573-6628,Yes,,,Springer Nature (Springer)
Mathematical Geosciences,1874-8953,Yes,,,Springer Nature (Springer)
Mathematical Methods of Operations Research,1432-5217,Yes,,,Springer Nature (Springer)
Mathematical Methods of Statistics,1934-8045,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Mathematical Models and Computer Simulations,2070-0490,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Mathematical Notes,1573-8876,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Mathematical Physics, Analysis and Geometry",1572-9656,Yes,,,Springer Nature (Springer)
Mathematical Programming,1436-4646,Yes,,,Springer Nature (Springer)
Mathematical Programming Computation,1867-2957,Yes,,,Springer Nature (Springer)
Mathematical Sciences,2251-7456,Yes,,,Springer Nature (Springer)
Mathematics and Financial Economics,1862-9660,Yes,,,Springer Nature (Springer)
Mathematics Education Research Journal,2211-050X,Yes,,,Springer Nature (Springer)
Mathematics in Computer Science,1661-8289,Yes,,,Springer Nature (Springer)
"Mathematics of Control, Signals, and Systems",1435-568X,Yes,,,Springer Nature (Springer)
Mathematische Annalen,1432-1807,Yes,,,Springer Nature (Springer)
Mathematische Semesterberichte,1432-1815,Yes,,,Springer Nature (Springer)
Mathematische Zeitschrift,1432-1823,Yes,,,Springer Nature (Springer)
Measurement Techniques,1573-8906,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Meccanica,1572-9648,Yes,,,Springer Nature (Springer)
Mechanics of Composite Materials,1573-8922,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Mechanics of Soft Materials,2524-5619,Yes,,,Springer Nature (Springer)
Mechanics of Solids,1934-7936,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Mechanics of Time-Dependent Materials,1573-2738,Yes,,,Springer Nature (Springer)
Medical & Biological Engineering & Computing,1741-0444,Yes,,,Springer Nature (Springer)
Medical Microbiology and Immunology,1432-1831,Yes,,,Springer Nature (Springer)
Medical Molecular Morphology,1860-1499,Yes,,,Springer Nature (Springer)
Medical Oncology,1559-131X,Yes,,,Springer Nature (Springer)
Medical Science Educator,2156-8650,Yes,,,Springer Nature (Springer)
Medicinal Chemistry Research,1554-8120,Yes,,,Springer Nature (Springer)
"Medicine, Health Care and Philosophy",1572-8633,Yes,,,Springer Nature (Springer)
Mediterranean Geoscience Reviews,2661-8648,Yes,,,Springer Nature (Springer)
Mediterranean Journal of Mathematics,1660-5454,Yes,,,Springer Nature (Springer)
Medizinische Klinik - Intensivmedizin und Notfallmedizin,2193-6226,Yes,,,Springer Nature (Springer)
Medizinrecht,1433-8629,Yes,,,Springer Nature (Springer)
Membranes and Membrane Technologies,2517-7524,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Memetic Computing,1865-9292,Yes,,,Springer Nature (Springer)
memo - Magazine of European Medical Oncology,1865-5076,Yes,,,Springer Nature (Springer)
Memory & Cognition,1532-5946,Yes,,,Springer Nature (Springer)
Metabolic Brain Disease,1573-7365,Yes,,,Springer Nature (Springer)
Metabolomics,1573-3890,Yes,,,Springer Nature (Springer)
Metacognition and Learning,1556-1631,Yes,,,Springer Nature (Springer)
Metal Science and Heat Treatment,1573-8973,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Metallography, Microstructure, and Analysis",2192-9270,Yes,,,Springer Nature (Springer)
Metallurgical and Materials Transactions A,1543-1940,Yes,,,Springer Nature (Springer)
Metallurgical and Materials Transactions B,1543-1916,Yes,,,Springer Nature (Springer)
Metallurgist,1573-8892,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Metals and Materials International,2005-4149,Yes,,,Springer Nature (Springer)
Metascience,1467-9981,Yes,,,Springer Nature (Springer)
Meteorology and Atmospheric Physics,1436-5065,Yes,,,Springer Nature (Springer)
Methodology and Computing in Applied Probability,1573-7713,Yes,,,Springer Nature (Springer)
Metrika,1435-926X,Yes,,,Springer Nature (Springer)
METRON,2281-695X,Yes,,,Springer Nature (Springer)
Microbial Ecology,1432-184X,Yes,,,Springer Nature (Springer)
Microbiology,1608-3237,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Microchimica Acta,1436-5073,Yes,,,Springer Nature (Springer)
Microfluidics and Nanofluidics,1613-4990,Yes,,,Springer Nature (Springer)
Microgravity Science and Technology,1875-0494,Yes,,,Springer Nature (Springer)
Microsystem Technologies,1432-1858,Yes,,,Springer Nature (Springer)
Milan Journal of Mathematics,1424-9294,Yes,,,Springer Nature (Springer)
Mind & Society,1860-1839,Yes,,,Springer Nature (Springer)
Mindfulness,1868-8535,Yes,,,Springer Nature (Springer)
Minds and Machines,1572-8641,Yes,,,Springer Nature (Springer)
Mine Water and the Environment,1616-1068,Yes,,,Springer Nature (Springer)
Mineral Economics,2191-2211,Yes,,,Springer Nature (Springer)
Mineralium Deposita,1432-1866,Yes,,,Springer Nature (Springer)
Mineralogy and Petrology,1438-1168,Yes,,,Springer Nature (Springer)
Minerva,1573-1871,Yes,,,Springer Nature (Springer)
"Mining, Metallurgy & Exploration",2524-3470,Yes,,,Springer Nature (Springer)
Mitigation and Adaptation Strategies for Global Change,1573-1596,Yes,,,Springer Nature (Springer)
MMW - Fortschritte der Medizin,1613-3560,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Mobile Networks and Applications,1572-8153,Yes,,,Springer Nature (Springer)
Modeling Earth Systems and Environment,2363-6211,Yes,,,Springer Nature (Springer)
Modern Pathology,1530-0285,Yes,,,Springer Nature (Academic Journals on Nature.com)
Molecular & Cellular Toxicology,2092-8467,Yes,,,Springer Nature (Springer)
Molecular and Cellular Biochemistry,1573-4919,Yes,,,Springer Nature (Springer)
Molecular Biology,1608-3245,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Molecular Biology Reports,1573-4978,Yes,,,Springer Nature (Springer)
Molecular Biotechnology,1559-0305,Yes,,,Springer Nature (Springer)
Molecular Breeding,1572-9788,Yes,,,Springer Nature (Springer)
Molecular Diagnosis & Therapy,1179-2000,Yes,,,Springer Nature (Adis)
Molecular Diversity,1573-501X,Yes,,,Springer Nature (Springer)
Molecular Genetics and Genomics,1617-4623,Yes,,,Springer Nature (Springer)
"Molecular Genetics, Microbiology and Virology",1934-841X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Molecular Imaging and Biology,1860-2002,Yes,,,Springer Nature (Springer)
Molecular Neurobiology,1559-1182,Yes,,,Springer Nature (Springer)
Molecular Psychiatry,1476-5578,Yes,,,Springer Nature (Academic Journals on Nature.com)
Monash Bioethics Review,1836-6716,Yes,,,Springer Nature (Springer)
Monatshefte für Chemie - Chemical Monthly,1434-4475,Yes,,,Springer Nature (Springer)
Monatshefte für Mathematik,1436-5081,Yes,,,Springer Nature (Springer)
Monatsschrift Kinderheilkunde,1433-0474,Yes,,,Springer Nature (Springer)
Morphology,1871-5656,Yes,,,Springer Nature (Springer)
Moscow University Biological Sciences Bulletin,1934-791X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Moscow University Chemistry Bulletin,1935-0260,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Moscow University Computational Mathematics and Cybernetics,1934-8428,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Moscow University Geology Bulletin,1934-8436,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Moscow University Mathematics Bulletin,1934-8444,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Moscow University Mechanics Bulletin,1934-8452,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Moscow University Physics Bulletin,1934-8460,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Moscow University Soil Science Bulletin,1934-7928,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Motivation and Emotion,1573-6644,Yes,,,Springer Nature (Springer)
MRS Advances,2059-8521,Yes,,,Springer Nature (Springer)
MRS Bulletin,1938-1425,Yes,,,Springer Nature (Springer)
MRS Communications,2159-6867,Yes,,,Springer Nature (Springer)
MRS Energy & Sustainability,2329-2237,Yes,,,Springer Nature (Springer)
MTZ - Motortechnische Zeitschrift,2192-8843,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
MTZ worldwide,2192-9114,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Mucosal Immunology,1935-3456,Yes,,,Springer Nature (Academic Journals on Nature.com)
Multibody System Dynamics,1573-272X,Yes,,,Springer Nature (Springer)
Multidimensional Systems and Signal Processing,1573-0824,Yes,,,Springer Nature (Springer)
Multimedia Systems,1432-1882,Yes,,,Springer Nature (Springer)
Multimedia Tools and Applications,1573-7721,Yes,,,Springer Nature (Springer)
"Multiscale and Multidisciplinary Modeling, Experiments and Design",2520-8179,Yes,,,Springer Nature (Springer)
Multiscale Science and Engineering,2524-4523,Yes,,,Springer Nature (Springer)
MUSCULOSKELETAL SURGERY,2035-5114,Yes,,,Springer Nature (Springer)
Mycological Progress,1861-8952,Yes,,,Springer Nature (Springer)
Mycopathologia,1573-0832,Yes,,,Springer Nature (Springer)
Mycorrhiza,1432-1890,Yes,,,Springer Nature (Springer)
Mycotoxin Research,1867-1632,Yes,,,Springer Nature (Springer)
Nano Research,1998-0000,Yes,,,Springer Nature (Springer)
Nanobiotechnology Reports,2635-1684,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
NanoEthics,1871-4765,Yes,,,Springer Nature (Springer)
