Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Optical Materials,0925-3467,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Optical Materials: X,2590-1478,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Optical Memory and Neural Networks,1934-7898,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Optical Review,1349-9432,Yes,,,Springer Nature (Springer)
Optical Switching and Networking,1573-4277,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Optics & Laser Technology,0030-3992,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Optics and Lasers in Engineering,0143-8166,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Optics and Spectroscopy,1562-6911,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Optics Communications,0030-4018,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Optik,0030-4026,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Optimization,1029-4945,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Optimization and Engineering,1573-2924,Yes,,,Springer Nature (Springer)
Optimization Letters,1862-4480,Yes,,,Springer Nature (Springer)
Optimization Methods and Software,1029-4937,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Optoelectronics Letters,1993-5013,Yes,,,Springer Nature (Springer)
"Optoelectronics, Instrumentation and Data Processing",1934-7944,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
OR Spectrum,1436-6304,Yes,,,Springer Nature (Springer)
Oral and Maxillofacial Surgery,1865-1569,Yes,,,Springer Nature (Springer)
Oral and Maxillofacial Surgery Cases,2214-5419,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Oral Oncology,1368-8375,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Oral Oncology Reports,2772-9060,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Oral Radiology,1613-9674,Yes,,,Springer Nature (Springer)
"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",2212-4403,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Oralprophylaxe & Kinderzahnheilkunde,2190-8036,Yes,,,Springer Nature (Springer)
Orbis,0030-4387,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Orbit,1744-5108,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Order,1572-9273,Yes,,,Springer Nature (Springer)
ORDO,2366-0481,Yes,,,De Gruyter
Ore and Energy Resource Geology,2666-2612,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ore Geology Reviews,0169-1368,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Organic Agriculture,1879-4246,Yes,,,Springer Nature (Springer)
Organic Electronics,1566-1199,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Organic Geochemistry,0146-6380,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Organic Preparations and Procedures International,1945-5453,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Organisationsberatung, Supervision, Coaching",1862-2577,Yes,,,Springer Nature (Springer)
Organised Sound,1469-8153,Yes,,,CUP
Organisms Diversity & Evolution,1618-1077,Yes,,,Springer Nature (Springer)
Organizational Behavior and Human Decision Processes,0749-5978,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Organizational Dynamics,0090-2616,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Organogenesis,1555-8592,No,Fully open access journal,,Taylor and Francis
Organs-on-a-Chip,2666-1020,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Oriens,1877-8372,Yes,,,BRILL
Oriental Insects,2157-8745,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Orientalistische Literaturzeitung,2196-6877,Yes,,,De Gruyter
Oriente Moderno,2213-8617,Yes,,,BRILL
Origins of Life and Evolution of Biospheres,1573-0875,Yes,,,Springer Nature (Springer)
ORL,,Yes,,,Karger
Ornithological Applications,1938-5129,Yes,,,OUP
Ornithology,1938-4254,Yes,,,OUP
Ornithology Research,2662-673X,Yes,,,Springer Nature (Springer)
Orthopädie & Rheuma,2196-5684,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Orthopaedics & Traumatology: Surgery & Research,1877-0568,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Orthopedic Research and Reviews,1179-1462 ,No,Fully open access journal,,Taylor and Francis
Orthoplastic Surgery,2666-769X,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Oryx,1365-3008,Yes,,,CUP
Osteoarthritis and Cartilage,1063-4584,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Osteoarthritis and Cartilage Open,2665-9131,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Osteoarthritis Imaging,2772-6541,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Osteopathische Medizin,1615-9071,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Osteoporosis and Sarcopenia,2405-5255,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Osteoporosis International,1433-2965,Yes,,,Springer Nature (Springer)
Österreichische Wasser- und Abfallwirtschaft,1613-7566,Yes,,,Springer Nature (Springer)
Österreichische Zeitschrift für Soziologie,1862-2585,Yes,,,Springer Nature (Springer)
Ostrich,1727-947X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Otolaryngology Case Reports,2468-5488,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Oud Holland - Quarterly for Dutch Art History,1875-0176,Yes,,,BRILL
Oxford Art Journal,1741-7287,Yes,,,OUP
Oxford Development Studies,1469-9966,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Oxford Economic Papers,1464-3812,Yes,,,OUP
Oxford German Studies,1745-9214,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Oxford Journal of Law and Religion,2047-0789,Yes,,,OUP
Oxford Journal of Legal Studies,1464-3820,Yes,,,OUP
Oxford Review of Economic Policy,1460-2121,Yes,,,OUP
Oxford Review of Education,1465-3915,Yes,,,Taylor and Francis
Oxford University Commonwealth Law Journal,1757-8469,Yes,,,Taylor and Francis
Oxidation of Metals,1573-4889,Yes,,,Springer Nature (Springer)
Ozone: Science & Engineering,1547-6545,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"p-Adic Numbers, Ultrametric Analysis and Applications",2070-0474,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Pacific-Basin Finance Journal,0927-538X,Yes,,,Elsevier
Paddy and Water Environment,1611-2504,Yes,,,Springer Nature (Springer)
Pädiatrie,2196-6443,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Pädiatrie & Pädologie,1613-7558,Yes,,,Springer Nature (Springer)
Paedagogica Historica,1477-674X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Paediatric Respiratory Reviews,1526-0542,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Paediatrics & Child Health,1918-1485,Yes,,,OUP
Paediatrics and International Child Health,2046-9055,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Pain Management,1758-1877,Yes,,,Future Science
Pain Management Nursing,1524-9042,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Pain Medicine, 1526-4637,Yes,,,OUP
Palaeobiodiversity and Palaeoenvironments,1867-1608,Yes,,,Springer Nature (Springer)
"Palaeogeography, Palaeoclimatology, Palaeoecology",0031-0182,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Palaeoworld,1871-174X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
PaleoAmerica,2055-5571,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Paleobiology,1938-5331,Yes,,,CUP
Paleontological Journal,1555-6174,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Palestine Exploration Quarterly,1743-1301,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Palliative & Supportive Care,1478-9523,Yes,,,CUP
Palynology,1558-9188,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
PalZ,1867-6812,Yes,,,Springer Nature (Springer)
Pancreatology,1424-3903,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Papers in Applied Geography,2375-494X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Papers of the British School at Rome,2045-239X,Yes,,,CUP
Paragone: Past and Present,2476-1168,Yes,,,BRILL
Parallax,1460-700X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Parallel Computing,0167-8191,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Parasite Epidemiology and Control,2405-6731,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Parasitology,1469-8161,Yes,,,CUP
Parasitology International,1383-5769,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Parasitology Research,1432-1955,Yes,,,Springer Nature (Springer)
Parenting,1532-7922,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Parkinsonism & Related Disorders,1353-8020,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
